,zone,mean,std,min,max,var,time,spectral_index
0,0,-0.2178520812192017,0.15742752899381196,-0.782577395439148,0.6264830231666565,0.024783426885097503,2021-01-15 05:14:43,NDWIO
1,676,-0.15592503547668457,0.024963328120275106,-0.19098712503910065,-0.1348249912261963,0.0006231677508405179,2021-01-15 05:14:43,NDWIO
2,685,-0.1638169139623642,0.04912346678650076,-0.23213493824005127,-0.11014027893543243,0.002413114989124443,2021-01-15 05:14:43,NDWIO
3,686,-0.02576736609141032,0.06252645463918444,-0.1132417544722557,0.029172932729125023,0.003909557529745989,2021-01-15 05:14:43,NDWIO
4,687,-0.24701968828837076,0.04697919313877103,-0.28152695298194885,-0.18059782683849335,0.002207044587969951,2021-01-15 05:14:43,NDWIO
5,688,-0.07552903393904369,0.028134484664130266,-0.10214533656835556,-0.036608342081308365,0.0007915492273161811,2021-01-15 05:14:43,NDWIO
6,689,-0.2786983648935954,0.04943833562515166,-0.31588512659072876,-0.2088305652141571,0.0024441490293851398,2021-01-15 05:14:43,NDWIO
7,690,-0.29375211397806805,0.03142775834218324,-0.3333333432674408,-0.2564525008201599,0.0009877039944146682,2021-01-15 05:14:43,NDWIO
8,691,-0.19694167375564575,0.0537120564673575,-0.2679325044155121,-0.11726219207048416,0.002884985009952601,2021-01-15 05:14:43,NDWIO
9,692,-0.3014466166496277,0.009289640046430096,-0.31198233366012573,-0.28759291768074036,8.629741219223774e-05,2021-01-15 05:14:43,NDWIO
10,693,-0.34036409854888916,0.012044702289039807,-0.3573770821094513,-0.33111849427223206,0.00014507485323160077,2021-01-15 05:14:43,NDWIO
11,694,-0.23656843602657318,0.06336590992618553,-0.3376000225543976,-0.16563333570957184,0.004015238540773458,2021-01-15 05:14:43,NDWIO
12,695,-0.001353682018816471,0.018396306002610704,-0.016400417312979698,0.02454991638660431,0.0003384240745416906,2021-01-15 05:14:43,NDWIO
13,696,-0.2695513367652893,0.021304790277320736,-0.2988843023777008,-0.2489253282546997,0.0004538940887606202,2021-01-15 05:14:43,NDWIO
14,697,-0.34956149260203045,0.03162178822334093,-0.38271602988243103,-0.30699411034584045,0.000999937490441823,2021-01-15 05:14:43,NDWIO
15,698,-0.26117809613545734,0.07192342605385729,-0.34881266951560974,-0.17264384031295776,0.0051729792153246785,2021-01-15 05:14:43,NDWIO
16,992,-0.09930994361639023,0.07854638272948827,-0.17785632610321045,-0.020763564854860306,0.006169534239887253,2021-01-15 05:14:43,NDWIO
17,1001,-0.16390281915664673,0.053763967013449945,-0.22749824821949005,-0.09204760193824768,0.0028905641490233336,2021-01-15 05:14:43,NDWIO
18,1002,0.042368508875370026,0.06104118854997409,-0.018672680482268333,0.10340970009565353,0.0037260266995934876,2021-01-15 05:14:43,NDWIO
19,1511,0.11025619506835938,0.0013020082044782192,0.10895395278930664,0.11155842989683151,1.6952253645285964e-06,2021-01-15 05:14:43,NDWIO
20,1512,-0.2690233588218689,0.026876017331419814,-0.29589954018592834,-0.24214714765548706,0.0007223203075987783,2021-01-15 05:14:43,NDWIO
21,1513,-0.10775932669639587,0.10603230568680286,-0.2648090720176697,-0.001857006922364235,0.011242849849259606,2021-01-15 05:14:43,NDWIO
22,1514,-0.046981558203697205,0.017115867637980457,-0.07482995092868805,-0.02933845855295658,0.00029295292500086667,2021-01-15 05:14:43,NDWIO
23,1515,-0.04406857987244924,0.011610680513792413,-0.0590372234582901,-0.03073904477059841,0.00013480790199335885,2021-01-15 05:14:43,NDWIO
24,1516,-0.06476983924706776,0.005841909925800762,-0.0699969083070755,-0.05661555752158165,3.4127911581169464e-05,2021-01-15 05:14:43,NDWIO
25,1517,-0.009176040689150492,0.03167531888245692,-0.042435258626937866,0.033441200852394104,0.001003325826305332,2021-01-15 05:14:43,NDWIO
26,1518,-0.19006823003292084,0.03750117180614608,-0.22756940126419067,-0.152567058801651,0.001406337886834086,2021-01-15 05:14:43,NDWIO
27,1551,-0.003273974172770977,0.024833238052150777,-0.025032132863998413,0.03759399428963661,0.0006166897121547893,2021-01-15 05:14:43,NDWIO
28,1552,-0.15798048675060272,0.07394680337497837,-0.26435959339141846,-0.05530647188425064,0.005468129729377713,2021-01-15 05:14:43,NDWIO
29,1553,-0.04288152977824211,0.030032631454815172,-0.07291416078805923,-0.012848901562392712,0.0009019589521007537,2021-01-15 05:14:43,NDWIO
30,1554,-0.06584949294726054,0.05363381582485137,-0.10421361774206161,0.009998470544815063,0.002876586199934077,2021-01-15 05:14:43,NDWIO
31,1555,-0.04013290504614512,0.026218116392758378,-0.07518798112869263,-0.012143969535827637,0.0006873896271842256,2021-01-15 05:14:43,NDWIO
32,1556,-0.30318103233973187,0.040785227937844115,-0.3601577877998352,-0.26692211627960205,0.0016634348179419,2021-01-15 05:14:43,NDWIO
33,1557,-0.33246515194574994,0.024880218880874706,-0.36689257621765137,-0.30895793437957764,0.0006190252915602342,2021-01-15 05:14:43,NDWIO
34,1609,-0.17593002319335938,0.007805039959285493,-0.18553365767002106,-0.16641587018966675,6.091864876604328e-05,2021-01-15 05:14:43,NDWIO
35,1610,-0.1532653570175171,0.05128798688972415,-0.22564734518527985,-0.11303405463695526,0.002630457599200516,2021-01-15 05:14:43,NDWIO
36,1611,-0.11294788867235184,0.04087826300930267,-0.14766748249530792,-0.04699552804231644,0.0016710323866577226,2021-01-15 05:14:43,NDWIO
37,1642,-0.37726060549418133,0.012001681225671506,-0.3880266547203064,-0.3605150580406189,0.0001440403522426359,2021-01-15 05:14:43,NDWIO
